title,magnitude,date,time,cdi,mmi,alert,tsunami,sig,dmin,gap,depth,latitude,longitude,location,continent,country
M 6.9,6.9,9/10/2021,10:58:00 AM,4,3,green,1,740,4.778,31,535,-21.1704,174.54,Vanuatu region,Oceania,Vanuatu
M 7.3,7.3,2/10/2021,6:29:00 AM,4,4,green,1,826,4.493,32,527,-21.1036,174.895,Vanuatu region,Oceania,Vanuatu
M 6.5,6.5,22/09/2021,9:57:00 AM,7,5,green,1,684,0.993,114,21,12.1598,-87.8542,Jiquilillo- Nicaragua,Central America,Nicaragua
M 7.0,7,8/9/2021,1:47:00 AM,8,8,red,1,2504,0.07,43,20,16.9502,-99.7877,Acapulco- Mexico,North America,Mexico
M 7.1,7.1,22/08/2021,9:33:00 PM,1,4,green,1,776,9.799,32,6,-60.3026,-24.9992,South Sandwich Islands region,North America,Antarctica
M 6.6,6.6,22/08/2021,12:45:00 AM,1,3,green,1,670,8.865,19,7,-60.1023,-24.4608,South Sandwich Islands region,North America,Antarctica
M 6.9,6.9,18/08/2021,10:10:00 AM,8,7,green,1,741,0.579,54,93,-14.892,167.085,Port-Olry- Vanuatu,Oceania,Vanuatu
M 6.9,6.9,16/08/2021,11:10:00 AM,6,4,green,1,734,8.363,48,16.7,-58.3814,-23.3318,South Sandwich Islands region,North America,Antarctica
M 7.2,7.2,14/08/2021,12:29:00 PM,9,8,red,1,2331,1.178,23,10,18.3521,-73.4804,Nippes- Haiti,North America,Haiti
M 6.9,6.9,14/08/2021,11:57:00 AM,5,4,green,1,738,0,0,33.3,55.2364,-157.707,Perryville- Alaska,North America,USA
M 6.9,6.9,14/08/2021,11:57:00 AM,5,4,green,1,738,1.173,36,20.74,55.2657,-157.68,Perryville- Alaska,North America,USA
M 8.1,8.1,12/8/2021,6:35:00 AM,0,7,green,0,1009,7.463,78,22.79,-58.4157,-25.3206,South Sandwich Islands region,North America,Antarctica
M 7.5,7.5,12/8/2021,6:32:00 AM,9,6,green,1,868,7.227,38,47.23,-57.5959,-25.1874,South Sandwich Islands region,North America,Antarctica
M 7.1,7.1,11/8/2021,5:46:00 AM,9,7,green,1,846,1.273,25,55.14,6.4547,126.742,Pondaguitan- Philippines,Asia,Philippines
M 8.2,8.2,29/07/2021,6:15:00 AM,8,6,green,1,1237,0.875,66,46.66,55.4742,-157.917,Perryville- Alaska,North America,USA
M 8.2,8.2,29/07/2021,6:15:00 AM,8,7,yellow,1,1252,0,0,35,55.3154,-157.829,Perryville- Alaska,North America,USA
M 6.7,6.7,23/07/2021,8:48:00 PM,8,5,green,1,935,8.139,12,110,13.6989,120.713,Hukay- Philippines,Asia,Philippines
M 6.7,6.7,21/07/2021,9:15:00 PM,6,6,green,1,830,1.395,61,10,7.5904,-82.8813,Burica- Panama,Central America,Panama
M 6.5,6.5,20/06/2021,5:05:00 PM,0,4,green,1,650,7.994,24,25,-30.2144,-177.773,Kermadec Islands- New Zealand,Oceania,New Zealand
M 6.5,6.5,21/05/2021,10:13:00 PM,5,7,green,1,652,4.518,44,10,-16.4796,-177.356,Alo- Wallis and Futuna,Oceania,Wallis and Futuna
M 7.3,7.3,21/05/2021,6:04:00 PM,9,9,orange,0,1025,4.655,9,10,34.5861,98.2551,Southern Qinghai- China,Asia,China
M 6.7,6.7,14/05/2021,6:33:00 AM,8,4,green,0,698,1.487,37,11,0.1684,96.6475,Sinabang- Indonesia,Asia,Indonesia
M 6.7,6.7,12/5/2021,2:05:00 AM,9,3,green,0,694,10.669,45,10,-17.2495,66.3745,Mauritius - Reunion region,Africa,Mauritius
M 6.5,6.5,25/04/2021,10:28:00 PM,4,4,green,0,651,5.931,20,246,-21.6857,-177.064,Haveluloto- Tonga,Oceania,Tonga
M 6.5,6.5,24/04/2021,12:23:00 AM,6,4,green,0,652,10.405,19,301,-18.9204,-176.235,Pangai- Tonga,Oceania,Tonga
M 7.0,7,20/03/2021,9:09:00 AM,7,7,yellow,1,1052,2.378,35,43,38.4752,141.607,Ishinomaki- Japan,Asia,Japan
M 6.6,6.6,16/03/2021,6:38:00 PM,5,5,green,1,672,3.183,18,13.23,54.7018,163.208,Ust?-Kamchatsk Staryy- Russia,Asia,Russia
M 6.5,6.5,4/3/2021,11:12:00 AM,0,4,green,0,650,11.764,25,24,-28.4792,-176.619,Kermadec Islands region,Oceania,New Zealand
M 8.1,8.1,4/3/2021,7:28:00 AM,9,8,green,1,1021,0.739,21,28.93,-29.7466,-177.224,Kermadec Islands- New Zealand,Oceania,New Zealand
M 7.4,7.4,4/3/2021,5:41:00 AM,3,7,green,1,843,0.437,30,43,-29.6131,-177.842,Kermadec Islands- New Zealand,Oceania,New Zealand
M 7.3,7.3,4/3/2021,1:27:00 AM,7,6,green,1,932,0.918,24,10,-37.596,179.544,Gisborne- New Zealand,Oceania,New Zealand
M 7.1,7.1,13/02/2021,2:07:00 PM,9,8,orange,1,1612,3.085,11,43.98,37.6856,141.992,Namie- Japan,Asia,Japan
M 7.7,7.7,10/2/2021,1:19:00 AM,9,4,green,1,918,7.989,15,10,-23.2787,171.489,the Loyalty Islands,Oceania,New Caledonia
M 6.9,6.9,23/01/2021,11:36:00 PM,9,5,green,1,739,1.55,16,15,-61.8484,-55.559,South Shetland Islands,North America,Antarctica
M 7.0,7,21/01/2021,12:23:00 PM,7,5,green,1,802,2.821,15,80,5.0074,127.517,Pondaguitan- Philippines,Asia,Philippines
M 6.7,6.7,11/1/2021,9:32:00 AM,8,8,green,0,776,2.043,22,10,51.2407,100.443,Turt- Mongolia,Asia,Mongolia
M 6.7,6.7,27/12/2020,9:39:00 PM,5,5,green,1,776,1.319,19,10,-39.3264,-74.9067,Corral- Chile,South America,Chile
M 7.0,7,30/10/2020,11:51:00 AM,8,7,orange,0,1527,1.518,18,21,37.8973,26.7953,Néon Karlovásion- Greece,Europe,Greece
M 7.6,7.6,19/10/2020,8:54:00 PM,9,7,yellow,1,1165,0.23,36,28.37,54.662,-159.675,Sand Point- Alaska,North America,USA
M 6.5,6.5,1/9/2020,9:09:00 AM,6,6,green,0,674,0.388,49,16,-27.9285,-71.3937,Vallenar- Chile,South America,Chile
M 6.8,6.8,1/9/2020,4:09:00 AM,6,7,green,1,824,0.312,69,21,-28.013,-71.1958,Vallenar- Chile,South America,Chile
M 6.9,6.9,21/08/2020,4:09:00 AM,4,3,green,0,749,2.267,20,624,-6.6704,123.493,Katabu- Indonesia,Asia,Indonesia
M 6.9,6.9,18/08/2020,10:29:00 PM,4,4,green,0,735,1.716,25,26,-4.2791,101.215,Bengkulu- Indonesia,Asia,Indonesia
M 6.8,6.8,18/08/2020,10:23:00 PM,5,4,green,0,716,1.816,34,22,-4.3724,101.095,Bengkulu- Indonesia,Asia,Indonesia
M 6.6,6.6,18/08/2020,12:03:00 AM,9,8,yellow,1,784,5.128,14,10,12.0065,124.13,San Pedro- Philippines,Asia,Philippines
